"BLCA.CN"	"BRCA.US"	"CLLE.ES"	"CMDI.UK"	"COAD.US"	"EOPC.DE"	"ESAD.UK"	"ESCA.CN"	"GACA.CN"	"GBM.US"	"KIRC.US"	"LAML.KR"	"LGG.US"	"LICA.FR"	"LINC.JP"	"LIRI.JP"	"LUSC.KR"	"LUSC.US"	"MALY.DE"	"NBL.US"	"ORCA.IN"	"OV.AU"	"OV.US"	"PACA.AU"	"PACA.CA"	"PAEN.AU"	"PBCA.DE"	"PRAD.CA"	"PRAD.UK"	"PRAD.US"	"READ.US"	"RECA.CN"	"RECA.EU"	"SKCM.US"	"STAD.US"	"THCA.SA"	"THCA.US"	"UCEC.US"
"CHD2"	3.88034301543068e-250	3.28695385002468e-229	0.0055124826776425	1	2.36793774856612e-206	-0.73573932589902	-1.63239984501058e-86	2.0467262375197e-17	0.986536855609636	6.90280971776472e-23	5.5641197014257e-130	-3.71432040363103e-125	6.86319321209846e-22	5.57107404698678e-44	4.59298949910171e-111	-4.47222222222222e-306	2.28237096068777e-219	2.60349213153653e-100	0.804935901071045	1	1.2280595651841e-17	9.51993706799471e-07	1.99693071796436e-07	-6.4690041355905e-51	-1.36570394905987e-22	-0.515798807735203	-9.59219886254167e-05	0.653312022491556	-0.835332052726067	2.21063786350767e-25	5.63338395663021e-22	0.719988909738328	-1.79797701850783e-13	1.99518279491034e-38	7.62131172386341e-126	2.77586206896552e-306	3.33726171924349e-55	3.95079315327246e-27
"CREB1"	1.18477060122894e-136	2.310794027696e-107	0.751930983246854	-1	2.03555602155475e-107	-0.058369026095529	-2.71047307620301e-29	4.60126335665648e-09	-1	1.0193103309567e-05	3.21351681105549e-62	-2.0887306043966e-113	6.12836811636712e-12	5.499331018013e-38	5.82842393915756e-110	-5.47851699972111e-225	8.09037538926531e-212	1.82676453029296e-28	-3.98537592532158e-12	0.856470068349525	2.11188636458567e-16	2.1439524245265e-20	0.1612925739796	-4.00747918844568e-15	-8.5677166728366e-16	0.61698006984768	-0.0672397788121075	0.601835271224852	0.544312545189	2.4263853569508e-15	3.40553070037e-19	-1	-5.53855979499167e-15	9.3266255215491e-25	8.33704410018988e-38	2.77586206896552e-306	1.75962159302878e-47	0.00128594763128515
"CTBP2"	7.51164014000458e-76	1.04010335096898e-113	-0.956356184701545	-1	4.6e-306	-0.193506136397563	-2.129760597734e-34	1.51354004907e-24	0.8736559915685	1.52324475703985e-07	2.48354992261537e-41	-8.48552641412212e-121	6.2057233381027e-24	1.69063679120343e-05	6.92306758904316e-24	-4.62898615311682e-231	3.15802817388116e-54	2.1238334764406e-100	-0.00171954698033185	-1	1.03119905496e-10	-3.648193533845e-05	5.31012628278785e-05	-1.69925240460325e-22	-4.48798201364947e-10	-0.543504007152544	-0.0902614784647044	0.849654460431206	-0.835332052726067	1.50892368436339e-15	8.2820759982275e-80	-1	-5.88396815704e-21	3.71352956718155e-60	6.70833333333333e-306	2.77586206896552e-306	8.902931559389e-22	1.68876611429244e-121
"CTCF"	6.44e-306	5.03125e-306	0.201716762904475	1	4.6e-306	-0.0233290138606	-2.0828592206891e-265	1.83583892488769e-42	0.779679609076156	2.34402933799743e-172	1.46363636363636e-305	-4.76102122847008e-169	1.6103971634135e-127	1.6269337673834e-05	8.69789849905667e-30	-4.47222222222222e-306	1.69197193562731e-277	2.0125e-305	-1.03227769201452e-52	1	9.83277969541e-96	-3.7919893790142e-57	1.0126824778385e-32	-1.48886007112955e-287	-2.0501051828845e-68	-3.07613077234068e-06	-3.60540034339275e-23	0.000117900594733288	-0.005788159760138	4.8575666972742e-119	1.46155477824711e-173	0.673653653726455	-3.86787292766955e-46	3.22e-305	6.70833333333333e-306	2.77586206896552e-306	1.14322424455867e-118	1.61e-305
"CTCFL"	1.01228440594173e-66	1.91746283986068e-86	0.591614061567303	-1	1.16683250459148e-104	0.970708034452252	-2.42150155506347e-16	0.000602479993882461	0.141751509078769	5.35969879814566e-05	5.68140335938823e-29	-6.36447524245492e-40	6.19445321808902e-14	2.1197946356516e-08	3.99059257537786e-14	-1.31824397546469e-85	5.80853970123315e-23	1.18033589397697e-31	-1.71923939025285e-06	0.248033738267397	3.71440279744059e-12	-0.0837357958731955	0.00290112274864267	-1.17278445236419e-15	-5.28604106214429e-06	-0.728481580452316	-0.0137791630461382	0.0421264175175571	-0.210688681729082	8.4040420698192e-09	2.21206636273569e-15	-1	-4.21133567509556e-08	3.33054288850712e-69	1.41702655230796e-92	6.08612703785574e-215	1.09099870139585e-08	1.5070905946992e-28
"E2F1"	1.19294655862496e-305	5.03125e-306	0.00546782002553162	-1	4.6e-306	-0.000273819249893233	-2.924151629084e-100	5.446512573523e-20	1	5.65385302793759e-32	1.16092531977858e-177	-1.06750192822583e-251	2.35783830146789e-54	9.799238782277e-72	9.587919763548e-187	-4.47222222222222e-306	4.55630205691934e-227	5.658501581061e-160	-0.000166697264268405	-1	3.56673232836396e-32	0.000156569917110371	1.29174668149571e-05	-1.9284674998855e-64	-1.77785861722e-32	-0.869444575469254	-0.000644394787693407	0.0877001515060638	-0.379286366579132	4.76069500013284e-84	4.73015878162679e-74	0.532885212134905	-4.0787978508275e-43	1.93318061434992e-56	6.70833333333333e-306	2.77586206896552e-306	4.34101511395922e-128	3.95821035890549e-74
"E2F4"	4.65903785326778e-157	1.12770688446004e-181	0.384095514212617	-1	6.94617945332422e-159	-0.00536914664456007	-1.7231937377018e-43	1.26609975409105e-20	0.999525740000417	8.77231002888036e-10	1.14116562282856e-62	-3.32714784000715e-118	3.37663259818018e-17	4.02578835497109e-49	6.3178155305605e-122	-6.63013897614526e-276	3.65011707878558e-272	1.0023946619863e-32	-5.10080901075778e-05	-1	7.364726568675e-15	2.359860853952e-16	0.00169036673554177	-1.50915195189508e-22	-2.01059487002344e-15	0.692754431049304	-0.054205280523254	0.34684642917183	-0.854345580657505	3.50462119564798e-25	3.86984581776489e-27	0.543093538748469	-1.29866887320631e-25	2.8815708921646e-13	5.80246841395516e-66	2.77586206896552e-306	2.13957261563973e-62	2.72206132072341e-14
"E2F6"	6.44e-306	5.03125e-306	0.351683810497409	-1	4.6e-306	-0.00126467810389079	-2.34291474197995e-100	3.533648195288e-40	-0.982745842292541	1.54145374909948e-106	1.46519970753531e-287	-1.4993019564642e-267	2.10364267323576e-63	3.50757468705513e-45	1.25668549099473e-115	-4.47222222222222e-306	9.4527133800375e-228	7.89675860380209e-269	-3.13889921238106e-18	-1	2.26266327274326e-40	-0.0199594623280618	5.0129362168114e-06	-1.116498362311e-86	-3.02707110671445e-33	-0.030196329319695	-1.49236559357791e-05	0.028309329543053	-0.194108218424935	1.82073173575946e-97	4.6314619364538e-190	0.700481035337644	-2.60960873944108e-62	6.20359849264283e-211	6.70833333333333e-306	2.77586206896552e-306	5.403908826479e-180	1.7135747018173e-171
"EBF1"	2.08734306913792e-43	2.99231248896462e-42	0.428411103029883	-1	8.44147589107612e-46	-1	-4.44461744346986e-46	1.9790456490875e-05	-1	1.02969286097132e-05	3.33999995135357e-20	-1.36927672494456e-11	0.00179406977059564	3.51493653364e-17	2.73053872361763e-14	-3.18445444653364e-79	3.25838095818512e-14	2.54630966509214e-15	3.05344514293944e-07	-1	0.000227232509551077	0.0052812134081525	0.00983072089300452	-5.4266376632755e-25	-7.16175362038882e-05	-0.82758169583796	-0.265037954027515	0.795390263881605	-0.276191473777019	0.0177786545968235	4.58980482418694e-09	-1	-0.684562561778573	3.15969922174462e-17	2.31274012602537e-24	5.2558869736623e-114	6.79269256468645e-05	5.02986626379636e-16
"EGR1"	3.07675735989924e-203	2.49628725272606e-256	0.298699651361061	-1	4.6e-306	-0.014705499073804	-5.84990297300182e-80	1.62652855550656e-36	0.982745842292541	3.84941341115055e-29	5.71114604058923e-87	-1.61306285093485e-183	5.75860746621067e-37	6.6290975306962e-108	1.38461299158105e-104	-4.47222222222222e-306	8.97117633382971e-186	1.37146540858158e-91	-1.56347413572239e-07	-1	4.95670858944882e-25	1.54220124426067e-05	8.785814565122e-11	-8.83355768142938e-34	-2.63787981807998e-18	0.867381932420413	-0.0688370189754787	0.618150754151508	-0.2017308714029	9.55889623234848e-44	2.21572915277556e-55	0.3049149479707	-3.13937708372488e-32	6.4842631167625e-93	2.1732512597495e-261	2.77586206896552e-306	1.73011237344468e-79	4.72846953595872e-69
