""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"GATA2"	1.67321824662408	0.513073811350122	5.82163659097967	3.5552141992654e-07	3.66187062524337e-05	6.36820261013775	"c3 vs. c2"	1.67475084761414	0.0015326009900655
"RELA"	-1.31664649827455	0.3787565409306	-5.49665756104627	1.15188098681509e-06	5.93218708209774e-05	5.23063130764452	"c3 vs. c2"	0.0430436913589269	1.35969018963348
"NR2F2"	1.19055889258584	0.403083554601956	5.2153230582976	3.14947020631067e-06	0.000108131810416666	4.2593832628475	"c3 vs. c2"	1.32098342096486	0.130424528379016
"MEF2C"	-0.89391806040575	0.2135261881177	-4.92534849672	8.7530526934675e-06	0.000225391106856788	3.27486903503681	"c3 vs. c2"	0	0.89391806040575
"RUNX3"	-1.07668191453329	0.404093899906527	-4.79462790733847	1.37978535280534e-05	0.000284235782677901	2.83749906715928	"c3 vs. c2"	0.265899512460167	1.34258142699346
"TAL1"	1.41961798147184	0.483697172956424	4.40799723923271	5.17343033296524e-05	0.000888105540492367	1.57162300807788	"c3 vs. c2"	1.48356895486799	0.0639509733961434
"GATA1"	1.91013318461404	0.611172004902522	4.21564473230153	9.83027635269628e-05	0.0014464549490396	0.959491973230094	"c3 vs. c2"	2.01474632597304	0.104613141358994
"CCNT2"	1.11464275749683	0.427354565005202	4.05195373891459	0.000168184422589181	0.00201666652885615	0.449081585434564	"c3 vs. c2"	1.20987720519703	0.095234447700192
"SMARCA4"	1.1593208714104	0.329399740278937	4.01268532112592	0.000191049865718985	0.00201666652885615	0.328170670997245	"c3 vs. c2"	1.1593208714104	0
"IKZF1"	-1.15058346614364	0.261913039906557	-4.00511186002362	0.000195792866879238	0.00201666652885615	0.304921882412923	"c3 vs. c2"	0.0460765695538651	1.19666003569751
"POU2F2"	-0.959456500979782	0.322634289750661	-3.96355841661178	0.000223910051385957	0.00209661229934124	0.17777405113289	"c3 vs. c2"	0.0289128127328971	0.988369313712678
"MTA3"	-1.24203370055401	0.462633162869106	-3.78557049194906	0.000394977421635793	0.00339022286904055	-0.358682827140501	"c3 vs. c2"	0.342370762231534	1.58440446278555
"NFATC1"	-1.0267478907449	0.426431437351889	-3.64795083738133	0.000607447965216088	0.00481285695517362	-0.763900037976067	"c3 vs. c2"	0.445232385635277	1.47198027638018
"TEAD4"	1.19689638004372	0.679815678335426	3.54518401034113	0.000833487721667013	0.00613208823797874	-1.06071496978034	"c3 vs. c2"	1.38715271844166	0.190256338397946
"ATF2"	-0.763575216435941	0.402493588980431	-3.35898703068179	0.00146132745545915	0.0096424476954059	-1.58514974996822	"c3 vs. c2"	0.430726852005034	1.19430206844097
