alzheimers_disease	blood_pressure	bmi	bone_mineral_density	breast_cancer	celiac_disease	cholesterol	chronic_kidney_disease	colorectal_cancer	c-reactive_protein	fasting_plasma_glucose	height	hematological_parameters	hypertension	inflammatory_bowel_disease	mean_corpuscular_volume	mean_platelet_volume	menarche_age_at_onset	menopause_age_at_onset	metabolic_syndrome	metabolic_traits	metabolite_levels	multiple_sclerosis	myocardial_infarction	parkinsons_disease	phospholipid_levels_plasma	platelet_counts	primary_biliary_cirrhosis	prostate_cancer	psoriasis	pulmonary_function	qt_interval	rheumatoid_arthritis	triglycerides	type_1_diabetes	type_2_diabetes	ventricular_conduction	vitiligo
HSF1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
STAT2	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.123762376238	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
EBF1	-1.0	0.363791544351	-1.0	-1.0	-1.0	0.0470853038296	-0.616969269104	0.37753429371	-1.0	-1.0	0.24310426193	0.148142393953	-1.0	-1.0	-1.0	-1.0	0.275148495735	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.404185886113	-1.0	-1.0	0.10071932614	-1.0	-1.0	0.226586639919	-1.0	-1.0	0.192528419364	0.37753429371	-1.0	-1.0	-1.0	-1.0
ATF3	-1.0	0.211956258805	-1.0	-1.0	-1.0	-1.0	-1.0	0.0227056017718	0.146234380392	-1.0	-1.0	0.308383567471	-1.0	-1.0	0.13934945311	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.264668271864	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
NR3C1	-1.0	0.211956258805	-1.0	-1.0	-1.0	0.17497468935	-1.0	-1.0	0.00937118946212	-1.0	-1.0	-1.0	-1.0	-1.0	0.13934945311	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.126583121719	0.256106841652	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
PAX5	-1.0	-1.0	-1.0	-1.0	-1.0	0.209730194891	-1.0	-1.0	-1.0	-1.0	-1.0	0.0366413162408	-1.0	-1.0	-1.0	-1.0	0.187326739085	-1.0	0.187326739085	-1.0	-1.0	0.152637602453	-1.0	0.0395049934327	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.128769396759	-1.0	-1.0	-1.0	-1.0	-1.0
E2F4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.232342007435	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0368066546432	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
BACH1	-1.0	-1.0	-1.0	-1.0	-1.0	0.0210396039604	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
BDP1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ELK4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.143085869925	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0.0295005336965	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
