Bone_mineral_density	Red_blood_cell_traits	Vitiligo	HDL_cholesterol	Platelet_counts	Primary_biliary_cirrhosis	Type_1_diabetes	Renal_function_related_traits_BUN	Alopecia_areata	Ankylosing_spondylitis	Multiple_sclerosis	Rheumatoid_arthritis	Kawasaki_disease	Liver_enzyme_levels_gamma_glutamyl_transferase	C_reactive_protein	LDL_cholesterol	Ulcerative_colitis	Restless_legs_syndrome	Urate_levels	Celiac_disease	Crohns_disease	Behcets_disease	Systemic_lupus_erythematosus	Atopic_dermatitis	Triglycerides	Psoriasis	Primary_sclerosing_cholangitis	Migraine	Allergy	Chronic_kidney_disease	Fasting_glucose_related_traits	Autoimmune_thyroiditis	Alzheimers_combined	Type_2_diabetes	Systemic_sclerosis	Asthma	Creatinine_levels	Progressive_supranuclear_palsy	Juvenile_idiopathic_arthritis
E035-H3K9me3	1	1	1	0.869992777191348	0.960693670496387	1	1	1.19319356378721	1	1	1	1	1.40540664191002	0.949351960139863	1	1	1	1	1	1	1	1	1	1	1	1.10371195863561	1	1	1.4256282082808	1	1	1	1.17523632802004	1.01181843247022	0.93356210066299	0.959718425099335	1	1	1
E040-H3K36me3	0.909409997772647	1	1	0.765651701903881	1	1.21799329214908	1	1	1	1.03589703618084	1.02315458016632	1	1	0.893143107275331	0.804931526440694	0.92256891435661	0.922688160278823	1	0.707447186872091	1.2727769741787	1.3208166560754	1.00032249429597	1	0.942774100023936	1	1	1	1	1	0.838652746456521	0.619454183736914	1	1	0.91988198022135	3.09458528523751	1	0.953929357853021	1	1
E043-H3K27me3	1.73011322924616	1	0.707836830718892	1	1	0.534595258920791	0.744813115557551	1	1	0.590452022435491	0.701895638117218	1	1	1.10013069451634	1.02554568279146	1	1.09843064766421	1	1.21887971292148	0.563588890481837	0.907488939032651	1	1	1	0.942915097927807	0.805296604923893	0.462036749361909	1	0.845123143211962	1.51138654435748	1.96343003394466	1	1	1.37064920044343	0.535798317920552	1.15304631479783	1.77269579079563	1.19111904547294	1
E042-H3K36me3	0.724194678827116	1.07595048260671	1	1	1	1.44444006581961	1	0.998312766921515	1.72331466113709	1.67256661825048	1.07252413526901	1	1	0.643873307479399	0.874409086102534	0.926181666711021	0.888049833926829	0.688350827226305	0.785502853167216	1.2537429767252	1.02898456134077	1.26529162197213	1	0.701976964006189	1.00981286208348	1	1.09116956820573	1	1	0.75908255454584	0.853736501711086	1	0.975035954789441	1	2.39211914564385	1	1	1	1.16170106049312
E033-H3K27me3	1.52974688772745	1	0.203265814534882	1	1	0.412090186200788	1	1	1.47556784951373	0.875690479577555	0.678561398696337	1	2.21652650340331	1.61329664999706	1	1	1	0.715836317541646	1.15049849760968	0.526847350740653	0.937975476652223	1	0.638519712816681	1	1	1	1	1.12022605515921	1	1.32102915134218	1.20786446103553	1	1.06086694938985	1.35634387705195	0.768290720904859	1	2.55411215061074	1.82884007500169	0.812136311042861
E043-H3K9me3	1.06925227226385	1	1	1	1	0.77531806543533	0.776764363758088	1.45305144187194	0.679143957461395	1	0.930763138481239	1	1.01152105533589	1	1	0.734386402189512	1	1.28562214585341	1	0.915915781049337	1	1	0.831526385309527	1	0.632637379968254	1.39283589886774	1	1	1	1	1.85935658319041	1	1.1446109748129	1.7686703607134	1	1	1	0.601678284566712	0.921158573547697
E124-H2AZ	0.878124169329729	1.29553506748562	1.04596443830196	1	1	1	1	1.06047218504037	1	1	1.07117141284545	1.11158983903304	1	1	1	1	1	0.896405381197439	1	1	1	1.2530015196331	1	1	0.964954608943757	1	1	1	0.967225974167887	0.991565070544603	1	1	0.826197128510067	0.931104772733284	1	1	1.31865775346798	0.825343995694724	1
E062-H3K9me3	1.0974887461893	1	0.967585795843433	1	1	0.830496735219706	1	1.48271648679963	1	1	0.97356265389351	1	1.65179227711626	1	1	1	1	1.00882359410475	1	0.937019248394586	0.964691949497253	1	1	1	0.680530655769842	1.73861617551169	1	1	1	1	1	1	1.02490488766693	1.04509244339374	1	1	1	1	1
E036-H3K36me3	0.935392457127978	1.19689728743604	1	1.09619013579235	1.36375349194008	1.94447717879657	0.88640513282655	0.7150316955574	1	1.38833023546961	1	0.766687213056005	1	0.733381147686607	0.74889346416497	1.02249582077793	0.964139878108289	0.645844790759795	0.781715280117893	1	1	1	1.05255613465474	1	1.27573053677166	1	1	1.30895330891911	1	0.984315506965865	1	0.740280931851017	1	1	1	0.505784454187424	1	1	1
E116-H3K4me3	0.688704604196091	1	1	0.788714007428273	1	1.92994165747562	1	1	1.00413888616774	1	1.42745813942085	1.44987086030157	2.10960699082596	1	1	0.658452796596542	1.1040758329792	1	0.803813978371846	1.48949252798509	1	1	2.9736828240034	1	0.57250265331465	1.35105565569898	1	1	1.13329435663855	0.364383775474307	1	1	0.795675920597779	0.562239658752907	1	1	1	1	1
